District,Latitude,Longitude
maldah,25.0202,88.1515
murshidabad,24.17609,88.27296
nadia,23.4747023,88.51618107
north twenty four parganas,22.73015401,88.72582356
paschim bardhaman,23.65761568,87.16823949
paschim medinipur,22.43995267,87.41690716
purba bardhaman,23.35721277,87.95205357
purba medinipur,22.03252778,87.77965662
purulia,23.33298,86.36696
south twenty four parganas,22.05604834,88.55363937
uttar dinajpur,25.9403233,87.9870475
hanumangarh,29.3659533,74.298429
kaimur,24.975466,83.5768379
khandwa,21.9769779,76.5675344
malda,25.0057449,88.1398483
narmada,22.6694223,77.5687122
pratapgarh uttar pradesh,25.75,81.75
